iter	Logloss
0	0.5074294526
1	0.3630069033
2	0.2687289265
3	0.2086470594
4	0.1641536169
5	0.1319645911
6	0.1075806264
7	0.09155075287
8	0.07833014068
9	0.06735696633
10	0.05933094741
11	0.05209080033
12	0.04758376018
13	0.04313411986
14	0.03948923057
15	0.03669281242
16	0.03452571838
17	0.03258654459
18	0.03078194409
19	0.0293927367
20	0.02803058103
21	0.02661034917
22	0.02533356666
23	0.02433084989
24	0.02307191319
25	0.02215062213
26	0.02123533589
27	0.02052673577
28	0.01968082092
29	0.0191511325
30	0.01866017018
31	0.01821645387
32	0.01742435584
33	0.0169675978
34	0.01644288739
35	0.01599100949
36	0.01538245613
37	0.01502178944
38	0.01472786644
39	0.01438255716
40	0.01401071726
41	0.01376820392
42	0.01342544409
43	0.01329059408
44	0.01310136048
45	0.01275431143
46	0.01251569184
47	0.01228378074
48	0.01214499544
49	0.01188928788
50	0.01182676059
51	0.01163036939
52	0.01128893825
53	0.01092045392
54	0.01062658617
55	0.01045185682
56	0.01018729147
57	0.01007517329
58	0.009887193704
59	0.00964787738
60	0.009541773594
61	0.009401406222
62	0.009121834173
63	0.009017414925
64	0.008923144268
65	0.008686240551
66	0.008464234064
67	0.008335790633
68	0.008207608742
69	0.008046750635
70	0.007931399664
71	0.007864175531
72	0.007775241414
73	0.007600754586
74	0.007523892926
75	0.007397943062
76	0.007339765453
77	0.007188300444
78	0.007018258897
79	0.006853478701
80	0.006739493685
81	0.006632052335
82	0.006538699964
83	0.006468557019
84	0.006325233033
85	0.006261171957
86	0.006222907508
87	0.006100196852
88	0.005965224275
89	0.005917298709
90	0.005821950889
91	0.005718038679
92	0.005690928072
93	0.005608148641
94	0.005560508669
95	0.005503479549
96	0.005411203831
97	0.005375966442
98	0.005312917092
99	0.005203528524
100	0.005099307698
101	0.005063558558
102	0.005006155741
103	0.0049103413
104	0.004820484499
105	0.004793450215
106	0.00471284241
107	0.004652207074
108	0.004643506906
109	0.004601254146
110	0.004531355675
111	0.004467524662
112	0.004439692699
113	0.004400312244
114	0.004382032732
115	0.004330671418
116	0.004290519694
117	0.004276588694
118	0.004267577223
119	0.004200636077
120	0.004124492343
121	0.004120816292
122	0.00411684815
123	0.004073523946
124	0.004065920735
125	0.003981333877
126	0.003911931945
127	0.003835729942
128	0.003794994759
129	0.00376633135
130	0.003713793148
131	0.00368247911
132	0.003628183865
133	0.003589535494
134	0.003541340549
135	0.003517457247
136	0.003473464232
137	0.003443136945
138	0.003421591454
139	0.003397354034
140	0.003348275738
141	0.003318140739
142	0.003314117215
143	0.003288728051
144	0.00325629603
145	0.00321838851
146	0.003184686455
147	0.00315054207
148	0.003121452194
149	0.003119583885
150	0.003082068612
151	0.003071723421
152	0.003034031063
153	0.003011332068
154	0.002993239145
155	0.002976276563
156	0.002943840838
157	0.002936622508
158	0.002900797191
159	0.002863526269
160	0.002837667182
161	0.002777909849
162	0.00275689319
163	0.002753467703
164	0.002750850425
165	0.002729186141
166	0.002699851259
167	0.002697401563
168	0.002670400394
169	0.002634927108
170	0.002594107542
171	0.002556343315
172	0.002506442049
173	0.002474812547
174	0.002457851054
175	0.002435136868
176	0.002417028749
177	0.002415512877
178	0.00238763268
179	0.002386232512
180	0.002363017383
181	0.002330793419
182	0.002324922442
183	0.002323720047
184	0.002302820012
185	0.002301657171
186	0.0023003337
187	0.002277548474
188	0.002271353367
189	0.002242591087
190	0.00222500877
191	0.002223943681
192	0.002205066255
193	0.002193928587
194	0.002184013654
195	0.002166712331
196	0.002152515085
197	0.002118748819
198	0.002115666013
199	0.002099820921
